playerID,allStarCount,awardsCount,totalGames,totalHomeRuns,totalHits,totalPitchingStrikeOuts,totalPitchWins,totalFielderPutouts,postHomeRuns,postHits,postPitchingStrikeOuts,postTotalWins,postFielderPutouts,class
percitr01,4,0,703,0,0,781,35,29,0,0,10,0,0,False
pettian01,3,3,533,1,27,2448,256,130,0,3,183,19,5,False
radkebr01,1,0,378,0,3,1467,148,213,0,0,17,2,2,False
papeljo01,6,1,689,0,0,808,41,37,0,0,23,2,0,False
peavyja01,3,4,393,3,87,2207,152,183,0,0,21,1,1,False
putzjj01,1,1,572,0,0,599,37,28,0,0,0,0,0,False
reyesjo01,4,2,1877,145,2138,0,0,2271,1,11,NULL,NULL,20,False
penato01,5,5,1988,107,1687,NULL,NULL,11260,1,24,NULL,NULL,139,False
phillto02,0,0,2161,160,2023,NULL,NULL,3564,1,10,NULL,NULL,25,False
palmera01,4,8,2831,569,3020,NULL,NULL,18128,4,20,NULL,NULL,162,False
piazzmi01,12,22,1912,427,2127,NULL,NULL,11347,6,29,NULL,NULL,235,True
puckeki01,10,22,1783,207,2304,NULL,NULL,4392,5,30,NULL,NULL,51,True
ramirma02,12,19,2302,555,2574,NULL,NULL,3206,29,117,NULL,NULL,177,False
pierrju01,0,0,1994,18,2217,NULL,NULL,3879,0,24,NULL,NULL,50,False
pierzaj01,2,1,2059,188,2043,NULL,NULL,12600,5,31,NULL,NULL,192,False
polanpl01,2,6,1927,104,2142,NULL,NULL,2767,0,32,NULL,NULL,50,False
posadjo01,5,10,1829,275,1664,NULL,NULL,10207,11,103,NULL,NULL,846,False
ramirar01,3,2,2194,386,2303,NULL,NULL,1224,4,13,NULL,NULL,11,False
renteed01,5,10,2152,140,2327,NULL,NULL,2966,3,61,NULL,NULL,117,False
penaca01,1,4,1493,286,1146,NULL,NULL,10900,4,18,NULL,NULL,141,False
peraljh01,3,0,1798,202,1761,NULL,NULL,2307,8,54,NULL,NULL,84,False
phillbr01,3,5,1902,211,2029,NULL,NULL,3557,2,13,NULL,NULL,16,False
rijojo01,1,2,377,2,85,1606,116,144,0,1,29,3,0,False
riverma01,13,16,1115,0,0,1173,82,110,0,0,110,8,18,True
russeje01,2,2,591,1,11,693,56,71,0,0,1,1,0,False
scottmi03,3,5,348,2,81,1469,124,156,0,0,19,2,2,False
rueteki01,0,0,349,0,95,818,130,135,0,3,17,1,7,False
schilcu01,6,11,571,0,117,3116,216,183,0,2,120,11,5,False
seleaa01,2,0,404,0,9,1407,148,119,0,0,17,0,2,False
rogerke01,4,5,763,0,9,1968,219,258,0,1,34,3,2,False
sandesc02,0,0,236,0,25,632,34,49,0,0,4,0,0,False
santajo01,4,7,360,1,40,1988,139,98,0,0,32,1,1,False
